parent_id,district,districtId,category,municipality,message_id,text,createdOn,updatedOn
23hb3j,Agder Politidistrikt,205,Brann,Lindesnes,23hb3j-0,Kl 2140. Politiet rykker ut til Alti-senteret etter melding om brann i en søppeldunk. Brannvesenet er på stedet og har kontroll - flammene er slått ned. ,2023-10-04T19:41:04.6355606+00:00,
23hb3j,Agder Politidistrikt,205,Brann,Lindesnes,23hb3j-1,Små skader - patruljen oppretter sak.,2023-10-04T20:00:26.5898317+00:00,
234wbc,Agder Politidistrikt,205,Trafikk,Vennesla,234wbc-0,"Kl 2120. Bil kjørte på elg på RV9 v/Dalehefte. Skal ikke ha vært stor hastighet. Elgen løp videre, uklart om den er skadd. Ingen personskade. Viltnemd kontaktet som følger opp denne saken.  ",2023-10-04T19:23:59.4111152+00:00,
23sscs,Innlandet Politidistrikt,203,Trafikk,Hamar,23sscs-0,kl. 2017: Melding om trafikkulykke med bil og sparkesyklist i rundkjøringen Furnesvegen/Ringgata. Sparkesyklisten fraktes til sykehus for sjekk. Politiet ønsker å komme i kontakt med bilfører som var involvert i sammenstøtet. ,2023-10-04T19:14:34.8541104+00:00,
23fnc5,Sør-Øst Politidistrikt,204,Trafikk,Tønsberg,23fnc5-0,"20:26 Melding om en mann som kjørte med EL-sparesykkel lange E18, på utsiden av sperrestripen. Hastigheten ble satt ned, patruljen til stedet og mannen er tatt hånd om og fjernet fra E18. ",2023-10-04T19:08:34.2165142+00:00,
231kcl,Sør-Øst Politidistrikt,204,Trafikk,Drammen,231kcl-0,19:02 UP stoppet en mann i 50 årene fra Buskerud. Han mistenkes for å være ruset under kjøring. Prøver tatt. Beslag av førerkort. Sak opprettet. ,2023-10-04T19:01:39.8565075+00:00,
23qgdk,Sør-Øst Politidistrikt,204,Trafikk,Horten,23qgdk-0,"20:19 UP har hat laserkontroll. 6 forelegg for hastighet. I tillegg 1 beslag for hastighet, det var 91 km/t i 60 sona. Fører var en mann i 30 årene fra Vestfold. ",2023-10-04T19:00:03.8693944+00:00,
23bcdc,Agder Politidistrikt,205,Trafikk,Arendal,23bcdc-0,Kl 2040. UP har hatt fartskontroll Vesterveien v/Tangen i 50-sone. 14 bilførere fikk forenklede forelegg. Høyeste hastighet 70 km/t. ,2023-10-04T18:43:39.7886114+00:00,
237dsb,Trøndelag Politidistrikt,209,Trafikk,Trondheim,237dsb-0,Nødetatene rykker ut til trafikkulykke i Jonsvannsvegen.  To biler er involvert.  Oppdatering kommer.,2023-10-04T18:25:00.6384851+00:00,
237dsb,Trøndelag Politidistrikt,209,Trafikk,Trondheim,237dsb-1,"det meldes påkjørsel bakfra, 3 personer involvert , ikke store materielle skader,.",2023-10-04T18:53:04.0163621+00:00,
237dsb,Trøndelag Politidistrikt,209,Trafikk,Trondheim,237dsb-2,Det var ingen personskade.,2023-10-04T19:08:51.6355451+00:00,
23m4f5,Sør-Øst Politidistrikt,204,Innbrudd,Tønsberg,23m4f5-0,19:26 Melding om en stjålet sykkel til verdi rund 45.000kr. Nabo hadde sett tyven og bidro med beskrivelse. Tyven hadde satt igjen en gammel sykkel da han tok den nye. Patruljen forsto hvem dette var og oppsøkte mannen.,2023-10-04T18:24:21.6978966+00:00,
23m4f5,Sør-Øst Politidistrikt,204,Innbrudd,Tønsberg,23m4f5-1,Mannen i 30 årene erkjente tyveriet.  Sykkelen tilbakelevert eier. Sak opprettet.,2023-10-04T18:24:26.7317852+00:00,
2381fk,Trøndelag Politidistrikt,209,Dyr,Trondheim,2381fk-0,"En løshund ved Granåsen/Smistadvegen. Hunden hadde svart kort og krøllete pels, middels stor, brunt/grått halsbånd.  Melder så at den sprang inn i skogen ved Smistadvegen.",2023-10-04T18:17:49.468966+00:00,
23xzf0,Sør-Øst Politidistrikt,204,Trafikk,Notodden,23xzf0-0,18:21 UP har hatt laserkontroll. 12 forelegg for hastighet. Høyete 83 km/t i 60 sona. ,2023-10-04T18:16:35.9717657+00:00,
23kvfc,Møre og Romsdal Politidistrikt,208,Brann,Ålesund,23kvfc-0,Røykutvikling i ei leiligheit på Aspøya. Tørrkoking på kjøkkenet. Situasjonen er under kontroll. Personen i leiligheten blir sjekket av ambulansepersonell.,2023-10-04T17:47:13.4680054+00:00,
235rgs,Sør-Øst Politidistrikt,204,Trafikk,Siljan,235rgs-0,18:51 UP stoppet en i 60 årene fra Telemark. Han hadde ikke gyldig førerkort. Sak opprettet. ,2023-10-04T17:30:19.337347+00:00,
23vng5,Møre og Romsdal Politidistrikt,208,Trafikk,Molde,23vng5-0,Fartskontroll i 50 sone. 26 forenkla forelegg. En anmeldelse med førerkortbeslag. Vedkommende kjørte i 81 km/t.,2023-10-04T17:16:15.4717711+00:00,
23gjgk,Innlandet Politidistrikt,203,Trafikk,Sør-Odal,23gjgk-0,"Utrykningspolitiet har gjennomført laserkontroll i skiltet 60-sone. 25 forenklede forelegg for fart, samt 1 anmeldelse og førerkortbeslag for å ha kjørt i 103 km/t på stedet.",2023-10-04T17:09:51.4752186+00:00,
233fhh,Innlandet Politidistrikt,203,Dyr,Stange,233fhh-0,"kl. 1806: Melding om en elgku med kalv på taket av dagligvarebutikk. Begge dyrene har hoppet eller falt ned. Elgkua er død og kalven er skadd. Politiet, viltnemnda og brannvesenet er på stedet.",2023-10-04T16:39:23.1774654+00:00,
