parent_id,district,districtId,category,municipality,message_id,text,createdOn,updatedOn
236qzt,Sør-Øst Politidistrikt,204,Ro og orden,Færder,236qzt-0,19:45 Melding om ordensforstyrrelse på en buss. Flere personer som kranglet. Politiet har vært på stedet og meglet mellom partene. Ingen er skadet og alle har gått hvert til sitt. Ingen politisak.,2023-11-01T19:14:25.2361881+00:00,
23m3r9,Finnmark Politidistrikt,212,Trafikk,Kautokeino,23m3r9-0,: kl. 1940: Politiet har avskiltet en personbil. Bruksforbud på denne da den ikke har vært fremstilt for kontroll. ,2023-11-01T18:49:35.1828283+00:00,
2380rq,Agder Politidistrikt,205,Skadeverk,Kristiansand,2380rq-0,"Vekter på Sørlandssenteret får kontroll på to mindreårige gutter som har satt fyr på toalettpapir inne på ett toalett. Minimale skader. Vi har hatt patrulje på stedet, oppretter sak. Utestengt fra Sørlandssenteret i 6 mnd. Hentet av verger.",2023-11-01T18:05:46.0322189+00:00,
23xxr3,Sør-Øst Politidistrikt,204,Trafikk,Nore og Uvdal,23xxr3-0,18:05 I forbindelse med en trafikkontroll kjørte en mannlig bilist i 70-åra inn i en patruljebil. Patruljebilen hadde på blålys og sto stille. Ingen personskade og mindre materielle skader. Det er besluttet førerkortbeslag og sak opprettes.,2023-11-01T18:01:55.7537011+00:00,
23ktsj,Møre og Romsdal Politidistrikt,208,Ulykke,Ålesund,23ktsj-0,Naudetatane rykker ut til fv526 Ellingsøyvegen ved Stavset etter melding om trafikkulykke. 1 bil og 3 personar involvert. Bilen skal ha køyrd på ein stein i vegbana slik at bilen fekk store skader. Personane involvert har ikkje synlege skader. Vert oppdatert.,2023-11-01T18:00:45.3404003+00:00,
23ktsj,Møre og Romsdal Politidistrikt,208,Ulykke,Ålesund,23ktsj-1,"Dei involverte, 1 vaksen og 2 born, vert frakta i ambulanse til sjukehus for vidare undersøking.
Bilen står nesten heilt ute av vegen, men foreløpig vert trafikken dirigert via ein kommunal veg.",2023-11-01T18:28:20.2289339+00:00,
23ktsj,Møre og Romsdal Politidistrikt,208,Ulykke,Ålesund,23ktsj-2,Vegen er open og trafikken går som normalt.,2023-11-01T18:49:13.8924188+00:00,
235qsz,Finnmark Politidistrikt,212,Trafikk,Alta,235qsz-0,@utrykningspol: UP har gjennomført fartskontroll i skiltet 80 sone. 1 FF skrevet ut. 93 km/t. ,2023-11-01T17:30:26.529226+00:00,
23vms9,Trøndelag Politidistrikt,209,Trafikk,Hitra,23vms9-0,"Personbil mot lastebil. Uklart omfang, men alle involverte er ute av bilene. Nødetatene rykker ut.",2023-11-01T17:30:07.3610077+00:00,
23vms9,Trøndelag Politidistrikt,209,Trafikk,Hitra,23vms9-1,Fv714 er stengt i begge retninger ved ulykkesstedet.,2023-11-01T17:32:28.5159349+00:00,
23vms9,Trøndelag Politidistrikt,209,Trafikk,Hitra,23vms9-2,Da har vi ved hjelp av noen sterke karer fra brannvesenet fått flyttet bilen (den lille) ut på veiskuldra og trafikken kan passere. Den store kommer seg av gårde for egen maskin.,2023-11-01T18:36:22.2384503+00:00,
23ghtq,Finnmark Politidistrikt,212,Andre hendelser,Alta,23ghtq-0,": Komsa: Politiet, Norske redningshunder og Røde Kors øver i kveld i Komsa området fra ca. kl. 1830 og 2-3 timer fremover. Dette er en øvelse. ",2023-11-01T17:27:44.423987+00:00,
233dt3,Sør-Øst Politidistrikt,204,Brann,Midt-Telemark,233dt3-0,17:30 Nødetatene har vært på en privatadresse etter melding om branntilløp i en eske med tennbriketter. En person har pustet inn noe røyk og blir tilsett av ambulansepersonell. Politiet avslutter på stedet.,2023-11-01T17:19:53.4302202+00:00,
23r9tj,Agder Politidistrikt,205,Trafikk,Vennesla,23r9tj-0,"Melding om trafikkuhell mellom 2 biler. Patrulje var like i nærheten, er nå på stedet. Fremstår ikke alvorlig, men vi varslet AMB. Trafikken kan passere i ett felt.",2023-11-01T17:03:05.3473076+00:00,
23r9tj,Agder Politidistrikt,205,Trafikk,Vennesla,23r9tj-1,De to kjøretøyene skal ha frontkollidert i lav hastighet. Det skal være glatt snøføre på stedet.,2023-11-01T17:11:27.8774507+00:00,
23r9tj,Agder Politidistrikt,205,Trafikk,Vennesla,23r9tj-2,Vi bestiller bilberger til begge kjøretøyene.,2023-11-01T17:21:13.4069415+00:00,
23r9tj,Agder Politidistrikt,205,Trafikk,Vennesla,23r9tj-3,"Vi er ferdig på stedet. Fører av den ene bilen kjørt LV for sjekk. Bilberger har hentet en bil, den andre blir hentet. Vi oppretter ikke sak.",2023-11-01T18:27:04.6489049+00:00,
23d5tx,Innlandet Politidistrikt,203,Dyr,Innlandet politidistrikt,23d5tx-0,"RV 2 - ca 3 mil nord av Kongsvinger: Det er meldt om 2 elgkalver som går i og ved RV2 mellom Grue og Grinder .
Fallviltgruppa er varslet og reiser ut.",2023-11-01T16:58:32.4560341+00:00,
2302v9,Vest Politidistrikt,207,Trafikk,Bergen,2302v9-0,Fløyfjelltunnelen nordgående kl 1728: politiet er på vei til stedet etter melding om kjøretøystans. En bil har mistet ett hjul. VTS har stengt ett felt. Bilberger er på vei til stedet.,2023-11-01T16:34:05.9042687+00:00,
2302v9,Vest Politidistrikt,207,Trafikk,Bergen,2302v9-1,Politiet er på stedet.,2023-11-01T16:50:18.9888844+00:00,
2302v9,Vest Politidistrikt,207,Trafikk,Bergen,2302v9-2,Bilen er fjernet.,2023-11-01T17:12:47.9997281+00:00,
23pvqj,Sør-Øst Politidistrikt,204,Brann,Skien,23pvqj-0,"17:00 Politiet og brannvesenet er på stedet etter melding om branntilløp i en innendørs søppelkasse. En del røyk, men brannen er slukket. Ingen personskade. Politiet undersøker brannårsaken.",2023-11-01T16:31:05.0761955+00:00,
23pvqj,Sør-Øst Politidistrikt,204,Brann,Skien,23pvqj-1,Politiet er ferdige på stedet. Brannårsak er trolig rester av varm tobakk fra en pipe. Sak opprettes.,2023-11-01T16:41:13.0462363+00:00,
239wv3,Innlandet Politidistrikt,203,Trafikk,Ringsaker,239wv3-0,"Bil som skaper utfordringer på E6 Mjøsbrua.
Har noe tekniske problemer.
Politiet er på stedet for å bistå.",2023-11-01T16:29:21.4639853+00:00,
239wv3,Innlandet Politidistrikt,203,Trafikk,Ringsaker,239wv3-1,Bilen av brua og vegen er åpen i begge retninger.,2023-11-01T16:29:52.2689314+00:00,
23swj9,Sør-Øst Politidistrikt,204,Trafikk,Øvre Eiker,23swj9-0,17:00 UP-patrulje stanset mannlig bilist i 30-åra for kontroll. Han hadde ikke gyldig førerkort og det er mistanke om ruskjøring. Nødvendige prøver tas og sak opprettes.,2023-11-01T16:23:00.3689739+00:00,
23lpwx,Trøndelag Politidistrikt,209,Trafikk,Orkland,23lpwx-0,Utforkjøring og bil på taket. Fører blir med ambulanse til SOH for undersøkelser. Foreløpig ikke vurdert som en alvorlig ulykke.,2023-11-01T16:17:39.8786656+00:00,
237lw9,Sør-Øst Politidistrikt,204,Trafikk,Hole,237lw9-0,"16:55 Nødetatene på vei etter melding om sammenstøt mellom to biler. Påkjørsel bakfra. En person i hver bil, begge er våkne og bevisste. Retning Hønefoss, rett nord for Nestunnelen.",2023-11-01T16:08:23.1425446+00:00,
237lw9,Sør-Øst Politidistrikt,204,Trafikk,Hole,237lw9-1,Nødetatene er fremme på stedet. En av sjåførene har smerter i rygg og nakke. Begge kjøres akutten for sjekk. Trafikale utfordringer på stedet. Bilberger er varslet. Politiet undersøker hendelsesforløpet.,2023-11-01T16:20:59.1227941+00:00,
237lw9,Sør-Øst Politidistrikt,204,Trafikk,Hole,237lw9-2,"Trafikken retning Oslo går som normalt. Trafikken mot Hønefoss står, blir trolig åpnet om 15-20 minutter. En mann i 20-åra mistenkes for å ha forårsaket ulykken. Det er besluttet førerkortbeslag og sak opprettes.",2023-11-01T16:45:30.8805348+00:00,
